No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren,
488,07-Jun-24,2024,PT Indo Energy Solutions,Solusi energi & jasa teknik migas,Semarang,Energi,Bukan Tbk,,Undisclosed,,,,
489,11-Jun-24,2024,PT Inti Polymetal,Industri polimer & logam,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
490,12-Jun-24,2024,PT MITRALANGGENG JAYA KONSTRUKSI,Jasa konsultansi teknik & konstruksi BUMN,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
491,13-Jun-24,2024,PT Indah Karya (Persero),Energi terbarukan & pengembangan energi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
492,13-Jun-24,2024,PT AZET SURYA LESTARI,Energi & perkebunan terintegrasi (bioenergi),Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
493,19-Jun-24,2024,PT SURYA KAHURIPAN SEMESTA,Jasa konstruksi & pengadaan,Surabaya,Energi,Bukan Tbk,,Undisclosed,,,,
494,20-Jun-24,2024,CV KBN,Distribusi produk konsumer & farmasi (BUMN),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
495,21-Jun-24,2024,PT Rajawali Nusindo,Pengelolaan pusat perbelanjaan (mal),Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
496,21-Jun-24,2024,PT SUPERMAL KARAWACI,Jasa teknik & pengadaan sektor migas,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
497,21-Jun-24,2024,PT Asian Petrocom Service,Pengembang properti & lahan,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
498,24-Jun-24,2024,PT CIPADANG JAYABAYA PUTRA UTAMA,,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
499,24-Jun-24,2024,PT IMPIANA UBUD BALI,Perhotelan & resort Bali,Surabaya,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
500,25-Jun-24,2024,PT LEMBANG PERMATA RECREATION ESTATE,Kawasan rekreasi & properti wisata,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
501,25-Jun-24,2024,PT Cinta Raja,Perdagangan & distribusi umum,Medan Kota,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
502,27-Jun-24,2024,PT SINERGI INTERNASIONAL PERKASA,Jasa keuangan & investasi,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
503,28-Jun-24,2024,PT Gunung Selang,Pertambangan & sumber daya alam,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
504,01-Jul-24,2024,PT ROYAL PERMATA INDAH,Pengembang properti perumahan,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
505,01-Jul-24,2024,PT TRADE CORP INDONESIA,Perdagangan internasional & distribusi,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
506,01-Jul-24,2024,"PT Tri Banyan Tirta, Tbk",Produksi AMDK & minuman (merek ALTO & TOTAL),Jakarta Pusat,Barang Konsumen Primer,Tbk,,Undisclosed,,,,
507,01-Jul-24,2024,PT DAYAAGUNG INDOTAMA,Jasa keuangan & investasi,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
508,02-Jul-24,2024,PT VICTORY PAN MULTITEX,Industri tekstil fashion & pakaian,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
509,02-Jul-24,2024,PT Suryatama Trading,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
510,04-Jul-24,2024,PT WAHANA INFRASTRUKTUR NUSANTARA,Jasa & investasi infrastruktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
511,04-Jul-24,2024,PT Nusa Raya CiPTa TBK,Konstruksi gedung bertingkat swasta,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
512,08-Jul-24,2024,PT ROYAL ABADI DENTALINDO,Klinik & jasa kesehatan gigi,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
513,08-Jul-24,2024,PT MATRA NALURI MUDA,"Jasa hiburan, media & konten kreatif",Surabaya,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
514,9-Jul-24,2024,PT INDO HUSADA UTAMA,Jasa kesehatan & distribusi alat medis,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
515,10-Jul-24,2024,PT DIPPON SENTOSA,Jasa konstruksi & teknik sipil,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
516,10-Jul-24,2024,PT FEVA INDONESIA,Distribusi produk farmasi & nutrisi,Surabaya,Kesehatan,Bukan Tbk,,Undisclosed,,,,
517,11-Jul-24,2024,PT Putra Ketapang Mandiri,Perkebunan & agribisnis (Kalimantan),Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
518,12-Jul-24,2024,PT Dos Ni Roha,Distribusi produk farmasi & alkes,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
519,16-Jul-24,2024,PT Mapan Wijaya,Jasa konstruksi & pengembangan,Semarang,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
520,17-Jul-24,2024,PT Indochin Resources,Pertambangan & sumber daya mineral,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
521,17-Jul-24,2024,PT TRIOMITRA HAKERSAM,Jasa konstruksi & teknik,Semarang,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
522,17-Jul-24,2024,PT Karya Utama Sehat Sejahtera (Rumah Sakit Martha Friska),Rumah sakit & layanan kesehatan,Medan Kota,Kesehatan,Bukan Tbk,,Undisclosed,,,,
523,19-Jul-24,2024,PT PP PROPERTI TBK,Properti residensial & komersial (anak PTPP),Jakarta Pusat,Properti & Real Estate,Tbk,,Undisclosed,,,,
524,23-Jul-24,2024,PT MAHKOTA PROPERTI INDO SENAYAN,Properti & real estate premium Jakarta,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
525,23-Jul-24,2024,PT MAHKOTA PROPERTI INDO PERMATA,Properti & real estate premium,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
526,7/24/2024,2024,PT SUMBER PRIMA ANUGRAH ABADI,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
527,7/24/2024,2024,PT Pelayaran Camar Laut,Pelayaran & angkutan laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
528,7/25/2024,2024,PT PADASA ENAM UTAMA,Perkebunan & distribusi produk agro,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
529,7/25/2024,2024,PT BANGUN KARYA PERSADA NUSANTARA,Jasa konstruksi & pembangunan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
530,7/26/2024,2024,PT Wijaya Karya Realty,Properti & real estate (anak usaha WIKA),Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
531,7/30/2024,2024,PT HAMANROKO,Perdagangan material & jasa konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
532,7/30/2024,2024,PT TUNAS MAKMUR JAYA ABADI,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
533,7/30/2024,2024,PT Mitralanggeng Prama Konstruksi,Jasa konstruksi & teknik sipil,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
534,7/30/2024,2024,PT Graha Indah Kirana,Pengembang properti perumahan,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
535,7/30/2024,2024,PT DMS Graha,Properti & pengelolaan aset real estate,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
536,7/31/2024,2024,PT Coalindo Adhi Nusantara,Perdagangan & jasa pertambangan batu bara,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
537,7/31/2024,2024,PT Semesta Jaya Abadi,Jasa konstruksi & teknik,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
538,31-Jul-24,2024,PT Levine Latersia Baratama,Pertambangan mineral & bahan baku,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
539,01-Aug-24,2024,PT ASIA PETROCOM SERVICES,Jasa teknik & pengadaan sektor migas,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
540,02-Aug-24,2024,PT CIPTATANI KUMAI SEJAHTERA,Agribisnis & perkebunan (Kalimantan),Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
541,02-Aug-24,2024,PT Wisnu Mandiri Batara,Properti & pengembangan lahan,Jakarta Pusat,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
542,02-Aug-24,2024,PT GRANTEC JAYA INDONESIA,Jasa teknik & engineering konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
543,05-Aug-24,2024,PT CAHAYA SURYA SELATAN,Jasa konstruksi & teknik (Sulawesi),Semarang,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
544,06-Aug-24,2024,PT Natatex Prima,Industri tekstil & pemintalan,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
545,06-Aug-24,2024,PT Mitra Rajawali Banjaran,Industri & perdagangan produk teknis,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
546,06-Aug-24,2024,PT SAMPANGAN DUTA PANCASAKTI TEXTIL,Industri tekstil fashion,Semarang,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
547,07-Aug-24,2024,PT Kertas Trinitra Mandiri,Industri kertas & percetakan,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
548,08-Aug-24,2024,PT GRAHA ORBIT LINTAS DUNIA (citinineproperty),Agen & pengembang properti,Surabaya,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
549,08-Aug-24,2024,PT BHUMI PUTERA PERKASA,Pengembang properti & real estate,Surabaya,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
550,08-Aug-24,2024,PT Mandiri Jaya Steel,Industri baja & logam,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
551,09-Aug-24,2024,PT CiPTamas Bumiselaras,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
552,09-Aug-24,2024,PT Citraloka Bumi Begawan,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
553,09-Aug-24,2024,PT Pahalasawit Tumbuhsejahtera,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
554,09-Aug-24,2024,PT Bangunsawit Jayasubur,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
555,09-Aug-24,2024,PT Pindad International Logistic,Teknologi logistik & sistem pertahanan,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
556,13-Aug-24,2024,PT Hutama Sentra Sejahtera,Perdagangan & jasa umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
557,13-Aug-24,2024,PT BANGUN SARANA ALLOY,Industri paduan logam (alloy),Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
558,13-Aug-24,2024,PT ALTHA MEDIKA INDONESIA,Jasa & alat kesehatan / klinik medis,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
559,13-Aug-24,2024,PT Anugerah Tujuh Sejati,Perdagangan & distribusi alat kesehatan / umum,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
560,13-Aug-24,2024,PT Pamor Spinning Mills,Industri pemintalan benang tekstil,Semarang,Perindustrian,Bukan Tbk,,Undisclosed,,,,
561,14-Aug-24,2024,PT GREEN PANGAN SEJAHTERA,Agribisnis & pangan berkelanjutan,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
562,16-Aug-24,2024,PT BATAMEC,Galangan kapal & fabrikasi baja (Batam),Medan Kota,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
563,19-Aug-24,2024,PT Widodo Makmur Perkasa Tbk.,Industri peternakan unggas & pakan ternak,Jakarta Pusat,Perindustrian,Tbk,,Undisclosed,,,,
564,20-Aug-24,2024,PT Wijaya Karya Industri & Konstruksi,Industri & konstruksi baja (anak WIKA),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
565,20-Aug-24,2024,PT Pindi Mulya Abadi,Industri & perdagangan umum,Semarang,Perindustrian,Bukan Tbk,,Undisclosed,,,,
566,20-Aug-24,2024,CV Pasti Lancar,Perdagangan & distribusi umum,Semarang,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
567,21-Aug-24,2024,PT Victory Pan Multitex,Industri tekstil fashion & pakaian,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
568,21-Aug-24,2024,PT CITRA KENCANA PALMA,Perkebunan kelapa sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
569,21-Aug-24,2024,PT SURYA DUMAI AGRINDO,Agribisnis & perkebunan sawit,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
570,21-Aug-24,2024,PT SETIA AGRINDO LESTARI,Agribisnis & perkebunan,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
571,21-Aug-24,2024,PT SETIA AGRINDO MANDIRI,Agribisnis & perkebunan,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
572,22-Aug-24,2024,PT MERPATI ABADI SEJAHTERA,Perdagangan & distribusi umum,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
573,22-Aug-24,2024,PT MULIA PERMATA,Perdagangan umum & industri,Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
574,22-Aug-24,2024,PT Dinamika Inovasi Teknologi Nasional (DITN),Jasa teknologi & inovasi digital,Surabaya,Teknologi,Bukan Tbk,,Undisclosed,,,,
575,26-Aug-24,2024,PT SURYA ENERGI INDOTAMA,Perdagangan & distribusi energi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
576,26-Aug-24,2024,PT CAHAYASURYA INDAHBUSANA,Industri & perdagangan busana / fashion,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
577,26-Aug-24,2024,PT KARTIKA JATI SENTOSA,Industri kayu & mebel,Semarang,Perindustrian,Bukan Tbk,,Undisclosed,,,,
578,28-Aug-24,2024,PT Waskita Karya Infrastruktur,Konstruksi infrastruktur (anak usaha Waskita),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
579,28-Aug-24,2024,CV Fajar Timur Nusantara Tekindo,Jasa teknik & konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
580,29-Aug-24,2024,PT ECOS JAYA INDONESIA,Jasa konstruksi & engineering lingkungan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
581,29-Aug-24,2024,PT Eden Pangan Indonesia,Produksi & distribusi pangan segar (hortikultura),Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
582,30-Aug-24,2024,PT Sumber Pangan Gisindo,Distribusi & perdagangan bahan pangan,Semarang,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
583,9/2/2024,2024,PT Nusa Halmahera Minerals,Pertambangan mineral & emas,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
584,9/3/2024,2024,PT Surindo Teguh Gemilang,Industri tali & produk serat sintetis,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
585,9/3/2024,2024,PT INDRA ERAMULTI LOGAM INDUSTRI,Industri logam & aluminium,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
586,9/3/2024,2024,PT Ossiana Sakti Ekamaju,Pertambangan & pengelolaan SDA,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
587,9/3/2024,2024,PT BOSOSI PRATAMA,Perkebunan & kehutanan (Papua),Makassar,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
588,9/3/2024,2024,PT HENRISON INTI PERSADA,Perkebunan & kehutanan (Papua),Makassar,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
589,9/5/2024,2024,PT SARIPERSADA INDO PANCARONA,Perkebunan & agribisnis,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
590,9/6/2024,2024,PT KREATUR PERFORMA SINERGI,Jasa konsultansi & operasional industri,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
591,9/9/2024,2024,PT PP Properti Tbk,Properti residensial & komersial (anak PTPP),Jakarta Pusat,Properti & Real Estate,Tbk,,Undisclosed,,,,
592,9/9/2024,2024,PT Paesa Pasindo Engineering,Jasa engineering & konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
593,09-Sep-24,2024,PT JAYA ALAM PERKASA,Pengembang lahan & kavling,Surabaya,Properti & Real Estate,Bukan Tbk,,Undisclosed,,,,
594,9-Sep-24,2024,PT Primatama Energi Nusantara,Pengembangan & distribusi energi,Surabaya,Energi,Bukan Tbk,,Undisclosed,,,,
595,10-Sep-24,2024,PT ADHI KARYA (Persero) Tbk,"Konstruksi & EPC BUMN — gedung, LRT, jalan tol",Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
596,10-Sep-24,2024,PT Gunung Bara Utama,Pertambangan batu bara,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
597,10-Sep-24,2024,PT CAKRASARANA LARASASRI,Jasa konstruksi & pengadaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
598,11-Sep-24,2024,PT Pembangunan Perumahan (Perseroan) Tbk,Konstruksi & properti BUMN (PTPP),Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
599,11-Sep-24,2024,PT Wijaya Karya Pracetak Gedung,Produksi beton pracetak gedung (anak WIKA),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
600,11-Sep-24,2024,PT KUSUMAHADI SANTOSA,Industri tekstil — tenun & printing kain,Semarang,Perindustrian,Bukan Tbk,,Undisclosed,,,,
601,11-Sep-24,2024,PT Jebus Maju,Perdagangan & jasa umum,Medan Kota,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
602,12-Sep-24,2024,PT ROYAL ABADI DENTALINDO,Klinik & jasa kesehatan gigi,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,,
603,12-Sep-24,2024,PT BINTANG SAUDARA SEMESTA JAYA,Jasa konstruksi & perdagangan teknik,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
604,12-Sep-24,2024,PT Shanty Wiraperkasa,Jasa konstruksi & pengadaan,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
605,12-Sep-24,2024,PT Achmadi Pasca Perintis,Jasa konstruksi & teknik,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
606,13-Sep-24,2024,PT RAJA PRIMA SUMATERA,Perdagangan & industri (Sumatera),Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
607,17-Sep-24,2024,PT SINTRA SINARINDO ELEKTRIK,Jasa elektrikal & engineering sistem tenaga,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
608,17-Sep-24,2024,PT Siger Jaya Abadi,Jasa konstruksi & teknik,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
609,17-Sep-24,2024,PT BINEATAMA KAYONE LESTARI,Industri kayu & hasil hutan,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
610,18-Sep-24,2024,PT Darbe Jaya Abadi,Jasa konstruksi & pengadaan,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
611,19-Sep-24,2024,PT Aminco Jaya Pratama,Jasa konstruksi & engineering,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
612,19-Sep-24,2024,PT ZARINDAH PERDANA,Jasa konstruksi & pengadaan,Makassar,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
613,20-Sep-24,2024,PT Agro Jabar (Perseroda),Agribisnis BUMD Jawa Barat,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
614,20-Sep-24,2024,PT DISANTA,Perdagangan & jasa umum,Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
615,25-Sep-24,2024,Yayasan Pendidikan Dan Sosial Dwiwarna Medan,Pendidikan & sosial kemasyarakatan,Medan Kota,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
616,26-Sep-24,2024,PT Spartan Eragon Asia,Jasa konstruksi & teknik,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
617,30-Sep-24,2024,PT SYNERGI TIMAH ABADI,Pertambangan & pengolahan timah,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
618,01-Oct-24,2024,PT CIPTA MANDIRI AGUNG GEMILANG,Jasa konstruksi & pengadaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
619,01-Oct-24,2024,PT WAHANA JAYA PRIMA,Jasa konstruksi & pengembangan,Medan Kota,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
620,02-Oct-24,2024,PT Widodo Makmur Perkasa,Industri peternakan unggas & pakan ternak,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
621,02-Oct-24,2024,PT EMKA BESCHLAGTEILE PACIFIC (dahulu PT SELECTRIX INDONESIA),Industri komponen & aksesoris bangunan,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
622,03-Oct-24,2024,PT Agregat Prima Indonesia,Industri agregat & material konstruksi,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
623,03-Oct-24,2024,RDMP BALIKPAPAN JO,Joint operation kilang & petrokimia,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
624,03-Oct-24,2024,PT Panji Mas Textile,Industri tekstil & kain,Surabaya,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
625,03-Oct-24,2024,PT Sibadihon Sawitta Torop Lestari,Perkebunan & kehutanan Sumatera,Medan Kota,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
626,04-Oct-24,2024,PT Ipasa Modern Industri,Manufaktur komponen industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
627,04-Oct-24,2024,PT AGM Plastic Industry,Industri plastik & kemasan,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
628,04-Oct-24,2024,PT ESA JAYA SEMPURNA,Industri & jasa manufaktur,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
629,04-Oct-24,2024,PT SETIA AGRINDO MANDIRI,Agribisnis & perkebunan,Jakarta Pusat,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
630,04-Oct-24,2024,PT SINAR AGUNG SELALU SUKSES,Perdagangan & distribusi FMCG,Semarang,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
631,07-Oct-24,2024,PT ASIA PETROCOM SERVICE,Jasa teknik & pengadaan sektor migas,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
632,07-Oct-24,2024,PT Pembangunan Perumahan Urban,Konstruksi & pengembangan urban (anak PTPP),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
633,07-Oct-24,2024,PT PP Urban,Konstruksi & pengembangan urban (anak PTPP),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
634,08-Oct-24,2024,Djoesianto Law,Firma hukum (corporate law & infrastruktur),Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
635,08-Oct-24,2024,PT Waskita Karya (Persero) Tbk,"Konstruksi infrastruktur besar BUMN — jalan tol, jembatan",Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
636,08-Oct-24,2024,PT Albizzia Sinar Lestari Indah,Agribisnis & perkebunan kehutanan,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
637,08-Oct-24,2024,CV AYU WULAN LESTARI,Perdagangan & distribusi komoditas agro,Surabaya,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
638,08-Oct-24,2024,Sahabat Farma,Distribusi produk farmasi & alat kesehatan,Makassar,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
639,08-Oct-24,2024,PT BODDIA JAYA,Budidaya & distribusi hasil perikanan,Makassar,Bahan Baku,Bukan Tbk,,Undisclosed,,,,
640,09-Oct-24,2024,PT Adtrans Rentcar Indonesia,Rental kendaraan & transportasi,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
641,10-Oct-24,2024,Konsorsium PT Hutama Karya (Persero)-Euroasiatic-Uttam,Konsorsium EPC proyek strategis nasional,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
642,14-Oct-24,2024,PT Trilogi Arta CiPTa,Jasa konstruksi & teknik sipil,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
643,15-Oct-24,2024,"PT WIJAYA KARYA BANGUNAN GEDUNG, Tbk",Properti & real estate (anak usaha WIKA),Jakarta Pusat,Properti & Real Estate,Tbk,,Undisclosed,,,,
644,17-Oct-24,2024,PT Supermal Karawaci,Pengelolaan pusat perbelanjaan (mal),Jakarta Pusat,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
645,17-Oct-24,2024,PT Putera Master Sarana Penyeberangan Mulia,Transportasi penyeberangan feri antar pulau,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
646,17-Oct-24,2024,PT Wastra Indah,Industri batik & kain tradisional,Surabaya,Konsumen Non Primer,Bukan Tbk,,Undisclosed,,,,
647,17-Oct-24,2024,PT SAMALINDO JAYA MANDIRI,Perdagangan & distribusi umum,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
648,17-Oct-24,2024,PT Multi Razulka Sakti,Perdagangan & distribusi umum,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
649,17-Oct-24,2024,PT LOUISIANA FAR EAST,Perdagangan internasional & distribusi,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
650,18-Oct-24,2024,PT Tirtamas Lestari,Produksi AMDK (merek TOTAL),Jakarta Pusat,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
651,21-Oct-24,2024,PT KELOLA MINA LAUT,Distribusi & pengolahan hasil laut,Surabaya,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
652,22-Oct-24,2024,PT Buana Niaga Perkasa,Perdagangan & distribusi niaga umum,Medan Kota,Barang Konsumen Primer,Bukan Tbk,,Undisclosed,,,,
